x y z
0.094 0.298 3
0.095 0.235 3
0.195 0.006 2
0.096 0.267 3
0.096 0.226 3
0.097 0.281 3
0.098 0.256 3
0.098 0.293 3
0.098 0.22 3
0.098 0.298 3
0.1 0.267 3
0.1 0.28 3
0.102 0.223 3
0.197 0.024 3
0.102 0.258 3
0.103 0.297 3
0.104 0.274 3
0.104 0.228 3
0.106 0.243 3
0.108 0.231 3
0.109 0.204 3
0.11 0.239 3
0.112 0.209 3
0.113 0.213 3
0.197 0.096 3
0.113 0.246 3
0.114 0.291 3
0.117 0.214 3
0.121 0.242 3
0.123 0.255 3
0.125 0.25 3
0.127 0.232 3
0.128 0.201 3
0.128 0.223 2
0.128 0.255 2
0.198 0.003 3
0.128 0.227 3
0.13 0.289 3
0.13 0.206 3
0.132 0.276 2
0.133 0.209 3
0.133 0.248 2
0.134 0.232 2
0.135 0.203 3
0.138 0.283 3
0.138 0.286 3
0.198 0.065 3
0.012 0.098 3
0 0 3
0.139 0.274 3
0.14 0.249 2
0.141 0.21 3
0.141 0.277 3
0.142 0.255 2
0.143 0.235 2
0.145 0.27 3
0.145 0.294 3
0.146 0.224 2
0.146 0.28 3
0.198 0.041 3
0.151 0.282 3
0.151 0.27 3
0.152 0.265 3
0.153 0.296 3
0.154 0.225 3
0.155 0.258 3
0.156 0.288 3
0.158 0.243 3
0.159 0.265 3
0.161 0.277 3
0.198 0.048 3
0.162 0.253 3
0.163 0.262 3
0.164 0.295 3
0.166 0.259 3
0.167 0.201 3
0.167 0.269 3
0.169 0.224 3
0.169 0.265 3
0.172 0.207 3
0.172 0.201 3
0.198 0.028 3
0.173 0.235 3
0.176 0.235 3
0.176 0.291 3
0.177 0.267 3
0.178 0.205 3
0.178 0.264 3
0.179 0.295 3
0.18 0.271 2
0.181 0.22 3
0.182 0.274 3
0.2 0.029 3
0.182 0.207 3
0.182 0.24 3
0.183 0.265 3
0.183 0.236 3
0.185 0.284 3
0.188 0.287 3
0.191 0.249 3
0.192 0.233 3
0.193 0.287 2
0.195 0.243 3
0.2 0.04 3
0.195 0.22 3
0.196 0.227 3
0.197 0.257 3
0.198 0.2 2
0.198 0.216 3
0.198 0.247 3
0.198 0.253 3
0.198 0.209 2
0.2 0.217 2
0.2 0.208 2
0.2 0.048 3
0.2 0.229 3
0.2 0.259 3
0.201 0.252 3
0.203 0.243 3
0.204 0.212 2
0.204 0.239 3
0.204 0.287 3
0.204 0.259 3
0.205 0.207 3
0.205 0.298 3
0.201 0.096 3
0.207 0.244 3
0.208 0.283 2
0.21 0.217 2
0.211 0.277 2
0.212 0.254 3
0.213 0.242 3
0.213 0.268 3
0.215 0.218 2
0.216 0.211 2
0.218 0.275 2
0.201 0.022 2
0.221 0.251 3
0.224 0.281 3
0.224 0.232 3
0.226 0.245 3
0.227 0.294 2
0.229 0.257 2
0.229 0.274 3
0.23 0.29 2
0.23 0.2 2
0.23 0.297 2
0.203 0.054 3
0.23 0.278 3
0.231 0.222 2
0.232 0.271 3
0.234 0.288 2
0.234 0.239 2
0.236 0.213 2
0.237 0.221 2
0.237 0.227 2
0.237 0.27 2
0.239 0.26 2
0.203 0.064 3
0.014 0 3
0.24 0.213 2
0.243 0.23 2
0.244 0.215 2
0.245 0.274 2
0.246 0.259 2
0.246 0.234 2
0.248 0.228 2
0.248 0.255 3
0.25 0.219 2
0.251 0.229 2
0.205 0.087 3
0.251 0.239 2
0.253 0.289 2
0.253 0.243 2
0.254 0.276 2
0.258 0.291 2
0.258 0.264 2
0.258 0.298 2
0.263 0.207 3
0.266 0.216 2
0.266 0.285 3
0.206 0.048 3
0.267 0.2 3
0.269 0.271 3
0.27 0.203 3
0.271 0.226 2
0.272 0.29 3
0.273 0.296 2
0.273 0.229 2
0.273 0.248 2
0.274 0.27 2
0.278 0.245 2
0.206 0.052 3
0.28 0.209 2
0.281 0.253 2
0.283 0.224 3
0.284 0.221 2
0.285 0.21 3
0.285 0.234 2
0.289 0.202 2
0.289 0.231 2
0.289 0.254 2
0.29 0.227 2
0.207 0.008 3
0.292 0.247 2
0.294 0.201 2
0.296 0.239 3
0.298 0.206 2
0.298 0.231 2
0.298 0.228 2
0.3 0.219 2
0.3 0.229 3
0.3 0.239 3
0.3 0.207 3
0.207 0.082 3
0.302 0.29 3
0.304 0.221 2
0.304 0.245 3
0.305 0.261 2
0.305 0.298 3
0.306 0.228 3
0.306 0.213 2
0.307 0.277 3
0.307 0.291 3
0.308 0.209 3
0.21 0.011 3
0.309 0.225 3
0.309 0.238 3
0.31 0.286 1
0.31 0.242 3
0.314 0.222 3
0.314 0.246 3
0.314 0.214 3
0.315 0.258 3
0.315 0.236 3
0.315 0.29 3
0.211 0.038 3
0.316 0.228 1
0.316 0.201 3
0.316 0.294 3
0.318 0.217 3
0.32 0.284 3
0.322 0.25 2
0.322 0.229 3
0.322 0.291 3
0.323 0.245 2
0.324 0.221 3
0.213 0.072 3
0.326 0.254 2
0.326 0.289 3
0.327 0.206 3
0.327 0.213 3
0.328 0.236 2
0.328 0.231 3
0.329 0.245 3
0.329 0.201 2
0.331 0.226 2
0.332 0.237 1
0.214 0.041 3
0.332 0.229 2
0.333 0.215 2
0.334 0.284 3
0.334 0.2 3
0.336 0.298 3
0.336 0.244 3
0.336 0.277 3
0.338 0.235 3
0.34 0.282 3
0.344 0.276 3
0.217 0.053 2
0.015 0.089 3
0.345 0.217 3
0.347 0.23 3
0.347 0.234 3
0.347 0.271 3
0.348 0.224 3
0.349 0.291 3
0.35 0.287 3
0.352 0.2 2
0.352 0.217 3
0.352 0.274 3
0.218 0.077 3
0.353 0.224 3
0.353 0.233 2
0.354 0.206 2
0.355 0.297 3
0.356 0.257 3
0.357 0.273 3
0.36 0.281 3
0.361 0.274 3
0.362 0.278 3
0.362 0.286 3
0.219 0.029 3
0.364 0.23 2
0.365 0.269 3
0.371 0.27 3
0.372 0.231 2
0.374 0.256 2
0.38 0.267 3
0.383 0.237 2
0.385 0.271 3
0.388 0.279 2
0.393 0.217 2
0.219 0.095 3
0.396 0.205 2
0.397 0.217 2
0.401 0.219 2
0.402 0.245 2
0.403 0.238 2
0.405 0.214 2
0.406 0.233 2
0.407 0.26 2
0.41 0.213 2
0.411 0.231 2
0.221 0.081 3
0.413 0.227 2
0.419 0.217 2
0.42 0.251 2
0.42 0.283 2
0.423 0.244 3
0.425 0.22 3
0.428 0.227 2
0.431 0.241 3
0.432 0.247 2
0.432 0.233 2
0.221 0.05 2
0.432 0.216 2
0.433 0.21 2
0.433 0.202 2
0.437 0.226 2
0.437 0.219 3
0.439 0.294 2
0.44 0.217 2
0.442 0.24 3
0.442 0.294 2
0.443 0.252 3
